Epochs,Validation Scores,Validation Running Scores
0,0.6109720009105395,
1,0.6161434977578475,
2,0.5935174069627851,
3,0.6360302049622438,
4,0.6242748772869254,
5,0.5963740458015268,
6,0.5837226456847799,
7,0.6381507885072369,
8,0.6602486963497793,
9,0.6003340491529467,
10,0.598286530223703,
11,0.6406926406926406,
0,,0.6109720009105395
1,,0.6161434977578475
2,,0.5935174069627851
3,,0.6360302049622438
4,,0.6242748772869254
5,,0.5963740458015268
6,,0.5837226456847799
7,,0.6381507885072369
8,,0.6602486963497793
9,,0.6003340491529467
10,,0.598286530223703
11,,0.6406926406926406
