Epochs,Validation Scores,Validation Running Scores
0,6.300797460645446,
1,23.47183435090764,
2,27.614585800653344,
3,32.018212397959616,
4,25.618480129079515,
5,32.42711417236225,
6,30.83273328275487,
7,32.92686358952001,
8,43.66314499905194,
9,34.66729227813249,
10,42.19933009456701,
11,40.46903939218371,
12,38.800389337825386,
13,43.66204133773927,
14,42.53860738670974,
15,43.47916539774338,
16,47.644058671555385,
17,50.33985081464627,
18,50.17373984063016,
19,50.371585290366966,
20,50.114860027562244,
21,45.12874374110063,
22,53.018842496651445,
23,45.32903322006851,
24,49.57417690908078,
25,54.44999996099563,
26,41.29850669447238,
27,49.15574981389135,
28,47.87828003592665,
29,54.05812184293115,
30,47.90984435903637,
31,44.475224758750954,
32,51.953834279983916,
33,45.790439031477476,
34,53.753020286872214,
0,,6.300797460645446
1,,14.886315905776542
2,,19.129072537402145
3,,22.35135750254151
4,,23.004782027849114
5,,32.42711417236225
6,,30.83273328275487
7,,32.92686358952001
8,,43.66314499905194
9,,34.66729227813249
10,,42.19933009456701
11,,40.46903939218371
12,,38.800389337825386
13,,43.66204133773927
14,,42.53860738670974
15,,43.47916539774338
16,,47.644058671555385
17,,50.33985081464627
18,,50.17373984063016
19,,50.371585290366966
20,,50.114860027562244
21,,45.12874374110063
22,,53.018842496651445
23,,45.32903322006851
24,,49.57417690908078
25,,54.44999996099563
26,,41.29850669447238
27,,49.15574981389135
28,,47.87828003592665
29,,54.05812184293115
30,,47.90984435903637
31,,44.475224758750954
32,,51.953834279983916
33,,45.790439031477476
34,,53.753020286872214
