Epochs,Normal Epoch Times,PAI Epoch Times
0,220.69714641571045,
1,745.4711880683899,
2,1169.3219628334045,
3,1325.4488565921783,
4,1210.4227030277252,
5,1258.888159751892,
6,1329.1472744941711,
7,1357.0441420078278,
8,1632.1472113132477,
9,1427.8526294231415,
10,1591.0724012851715,
11,1536.4535548686981,
12,1520.7317733764648,
13,1612.423485994339,
14,1530.170283317566,
15,1743.116704940796,
16,1932.1248412132263,
17,1779.3548839092255,
18,1836.8638734817505,
19,1784.7150483131409,
20,1744.8258533477783,
21,1695.5751917362213,
22,1818.4654161930084,
23,1749.0726780891418,
24,1796.9656374454498,
25,1851.3140654563904,
26,1753.3626091480255,
27,1774.1214697360992,
28,1781.830323934555,
29,1775.4019284248352,
30,1722.0394639968872,
31,1724.275403022766,
32,1721.6449663639069,
33,1752.9621834754944,
34,1781.5198094844818,
