Epochs,Normal Epoch Times,PAI Epoch Times
0,131.7250030040741,
1,135.48963403701782,
2,136.25058484077454,
3,137.89133286476135,
4,136.2206428050995,
5,137.318922996521,
6,137.5097689628601,
7,136.34892892837524,
8,135.61101007461548,
9,137.22930788993835,
10,135.75331568717957,
11,135.14154291152954,
12,136.80101776123047,
13,135.17097806930542,
14,137.10400414466858,
15,135.71721982955933,
16,135.99013090133667,
17,136.97526288032532,
18,138.20856714248657,
19,137.7107310295105,
20,135.60384392738342,
21,135.72184991836548,
22,137.52563381195068,
23,315.30069398880005,
24,315.39611983299255,
25,314.50119400024414,
26,318.4520330429077,
27,318.6432650089264,
28,318.4518041610718,
29,318.26102781295776,
30,318.40969586372375,
31,318.30541491508484,
32,318.40664291381836,
33,318.3294620513916,
34,318.2240562438965,
35,318.31786608695984,
36,317.7599847316742,
37,318.8484561443329,
38,318.5280349254608,
39,318.39663004875183,
