Epochs,Normal Epoch Times,PAI Epoch Times
0,131.7250030040741,
1,135.48963403701782,
2,136.25058484077454,
3,137.89133286476135,
4,136.2206428050995,
5,137.318922996521,
6,137.5097689628601,
7,136.34892892837524,
8,135.61101007461548,
9,137.22930788993835,
10,135.75331568717957,
11,135.14154291152954,
12,136.80101776123047,
13,135.17097806930542,
14,137.10400414466858,
15,135.71721982955933,
16,135.99013090133667,
17,136.97526288032532,
18,138.20856714248657,
19,137.7107310295105,
20,135.60384392738342,
21,135.72184991836548,
22,137.52563381195068,
23,136.6421389579773,
24,135.30659890174866,
25,135.133141040802,
26,135.0333549976349,
27,135.10308814048767,
28,134.95449709892273,
29,135.77044296264648,
30,136.35419702529907,
31,135.03753089904785,
32,135.12314581871033,
