Epochs,Validation Scores,Validation Running Scores,Train Loss
0,88.93894571935267,,
1,89.17057185784805,,
2,88.92112613410147,,
3,88.98010339900159,,
4,88.977437738799,,
5,88.96970143452772,,
6,88.9223871670002,,
7,88.992365685044,,
8,88.93173308092321,,
9,89.03186019628534,,
10,89.00123526411872,,
11,88.90086633364311,,
0,,88.93894571935267,
1,,89.17057185784805,
2,,88.92112613410147,
3,,88.98010339900159,
4,,88.977437738799,
5,,88.96970143452772,
6,,88.9223871670002,
7,,88.992365685044,
8,,88.93173308092321,
9,,89.03186019628534,
10,,89.00123526411872,
11,,88.90086633364311,
0,,,0.024653691402636468
1,,,0.01810299441955673
2,,,0.00261434921703767
3,,,0.0025716246615047566
4,,,0.002529856542080072
5,,,0.0024580983065890095
6,,,0.002437580421004289
7,,,0.0024239352056206875
8,,,0.002319856909808651
9,,,0.0023146381895963308
10,,,0.0022270349829341283
11,,,0.002180474091922709
