Epochs,Validation Scores,Validation Running Scores,Train Loss
0,88.93894571935267,,
1,89.17057185784805,,
2,88.71556175736384,,
3,88.73136087858728,,
4,88.68866618720152,,
5,88.76072086326174,,
6,88.73571604173517,,
7,88.68250639647371,,
8,88.77626713733558,,
9,88.73641017032809,,
10,88.93305603557285,,
11,88.75759007818299,,
12,88.9485523096122,,
13,88.97122322284848,,
14,88.85089085431463,,
15,88.97005677285122,,
16,88.93515451465099,,
17,88.87035510262257,,
18,88.90233590761099,,
19,88.97254734396502,,
0,,88.93894571935267,
1,,89.17057185784805,
2,,88.71556175736384,
3,,88.73136087858728,
4,,88.68866618720152,
5,,88.76072086326174,
6,,88.73571604173517,
7,,88.68250639647371,
8,,88.77626713733558,
9,,88.73641017032809,
10,,88.93305603557285,
11,,88.75759007818299,
12,,88.9485523096122,
13,,88.97122322284848,
14,,88.85089085431463,
15,,88.97005677285122,
16,,88.93515451465099,
17,,88.87035510262257,
18,,88.90233590761099,
19,,88.97254734396502,
0,,,0.024653691402636468
1,,,0.01810299441955673
2,,,0.0061693621301350905
3,,,0.005394971638128886
4,,,0.004806870502458575
5,,,0.004520299709919426
6,,,0.004145747126151239
7,,,0.003907140231523145
8,,,0.0036682753902924662
9,,,0.003513382222606904
10,,,0.003367350299474007
11,,,0.0032739835563309803
12,,,0.0030222616219867226
13,,,0.0030395106349412043
14,,,0.002924442903410333
15,,,0.002882994076127135
16,,,0.0028728617069039802
17,,,0.002670522636375002
18,,,0.0026422251707925977
19,,,0.0025514312652780468
