Epochs,Validation Scores,Validation Running Scores,Train Loss
0,89.04155112824007,,
1,88.88332467456614,,
2,88.6783071053195,,
3,89.01528723111151,,
4,88.83696575573681,,
5,88.81857214873712,,
6,88.88413322601,,
7,88.88063251185034,,
8,89.01251773536873,,
0,,89.04155112824007,
1,,88.88332467456614,
2,,88.6783071053195,
3,,89.01528723111151,
4,,88.83696575573681,
5,,88.81857214873712,
6,,88.88413322601,
7,,88.88063251185034,
8,,89.01251773536873,
0,,,0.023613205236486263
1,,,0.012928358305038678
2,,,0.0045083444707819985
3,,,0.004801332787610591
4,,,0.004237100233634313
5,,,0.003969878620571561
6,,,0.0036679874698165803
7,,,0.0034850184249484704
8,,,0.0034526106054222003
