Epochs,Validation Scores,Validation Running Scores,Train Loss
0,0.3985625463724136,,
1,0.42163654088974,,
2,0.48670921683311463,,
3,0.5349146342277527,,
4,0.5491611266136169,,
5,0.6022126340866089,,
6,0.5990610861778259,,
0,,0.3985625463724136,
1,,0.42163654088974,
2,,0.48670921683311463,
3,,0.5349146342277527,
4,,0.5491611266136169,
5,,0.6022126340866089,
6,,0.5990610861778259,
0,,,0.2288873264193535
1,,,0.13056276470422745
2,,,0.06962188616394997
3,,,0.04928261598944664
4,,,0.03747632840275764
5,,,0.03137015572190285
6,,,0.022039271615445614
