Epochs,Validation Scores,Validation Running Scores
0,0.22431576251983643,
1,0.20716512203216553,
2,0.2235856056213379,
3,0.15803085267543793,
4,0.13528171181678772,
5,0.17245560884475708,
6,0.10970329493284225,
7,0.1954401135444641,
8,0.2938571870326996,
9,0.2671521306037903,
0,,0.22431576251983643
1,,0.20716512203216553
2,,0.2235856056213379
3,,0.15803085267543793
4,,0.13528171181678772
5,,0.17245560884475708
6,,0.10970329493284225
7,,0.1954401135444641
8,,0.2938571870326996
9,,0.2671521306037903
