Epochs,Validation Scores,Validation Running Scores
0,0.22431576251983643,
1,0.20716512203216553,
2,0.2235856056213379,
3,0.15803085267543793,
4,0.13528171181678772,
5,0.17245560884475708,
6,0.10970329493284225,
7,0.1954401135444641,
8,0.2938571870326996,
9,0.25626352429389954,
10,0.2836627960205078,
11,0.1723678559064865,
12,0.21583329141139984,
13,0.23111364245414734,
14,0.13587936758995056,
15,0.13891854882240295,
16,0.19937777519226074,
17,0.2382597178220749,
18,0.16455024480819702,
0,,0.22431576251983643
1,,0.20716512203216553
2,,0.2235856056213379
3,,0.15803085267543793
4,,0.13528171181678772
5,,0.17245560884475708
6,,0.10970329493284225
7,,0.1954401135444641
8,,0.2938571870326996
9,,0.25626352429389954
10,,0.2836627960205078
11,,0.1723678559064865
12,,0.21583329141139984
13,,0.23111364245414734
14,,0.13587936758995056
15,,0.13891854882240295
16,,0.19937777519226074
17,,0.2382597178220749
18,,0.16455024480819702
