Epochs,Validation Scores,Validation Running Scores,Train
0,13.125,,
1,19.6875,,
2,23.125,,
3,25.9375,,
4,28.75,,
5,27.8125,,
6,32.8125,,
7,37.1875,,
8,38.125,,
9,35.3125,,
10,44.6875,,
11,40.625,,
12,44.6875,,
13,44.6875,,
14,44.6875,,
15,45.625,,
16,43.4375,,
17,49.0625,,
18,54.375,,
19,53.4375,,
20,55.0,,
21,53.75,,
22,59.0625,,
23,57.1875,,
24,56.5625,,
25,55.0,,
26,59.0625,,
27,60.3125,,
28,64.0625,,
29,61.25,,
30,58.75,,
31,63.125,,
32,64.6875,,
33,60.3125,,
34,64.6875,,
35,64.375,,
36,61.875,,
37,64.6875,,
38,66.25,,
39,66.875,,
40,68.125,,
41,72.5,,
42,67.1875,,
43,66.5625,,
44,70.0,,
45,69.0625,,
46,68.75,,
47,73.4375,,
48,64.6875,,
49,73.125,,
50,70.3125,,
51,75.0,,
52,74.0625,,
53,71.25,,
54,72.1875,,
55,70.3125,,
56,70.3125,,
57,70.9375,,
58,74.6875,,
59,76.25,,
60,76.5625,,
61,75.0,,
62,76.25,,
63,76.5625,,
64,77.8125,,
65,76.5625,,
66,79.0625,,
67,77.1875,,
68,77.5,,
69,76.875,,
70,77.5,,
71,78.75,,
72,77.5,,
73,78.4375,,
74,79.375,,
75,78.125,,
76,80.3125,,
77,74.0625,,
78,76.875,,
79,76.875,,
80,71.5625,,
81,76.875,,
82,72.1875,,
83,77.5,,
84,75.625,,
85,80.3125,,
86,77.1875,,
87,75.625,,
88,76.25,,
89,75.3125,,
90,78.75,,
91,78.125,,
92,80.0,,
93,81.25,,
94,81.25,,
95,82.8125,,
96,81.25,,
97,80.625,,
98,82.5,,
99,81.5625,,
100,81.875,,
101,80.3125,,
102,81.5625,,
103,82.1875,,
104,82.5,,
105,81.875,,
106,82.5,,
107,82.5,,
108,83.125,,
109,83.4375,,
110,81.875,,
111,83.75,,
112,81.875,,
113,82.5,,
114,83.4375,,
115,83.125,,
116,83.75,,
117,82.5,,
118,82.5,,
119,82.8125,,
120,83.75,,
121,84.0625,,
122,83.75,,
123,83.75,,
124,83.75,,
125,82.8125,,
126,83.4375,,
127,83.75,,
128,84.375,,
129,77.1875,,
130,76.5625,,
131,75.0,,
132,81.25,,
133,76.25,,
134,78.4375,,
135,79.375,,
136,78.75,,
137,81.5625,,
138,81.5625,,
139,79.375,,
140,81.25,,
141,78.75,,
142,82.5,,
143,76.5625,,
144,80.9375,,
145,84.6875,,
146,79.375,,
147,75.3125,,
148,80.0,,
149,73.125,,
150,81.5625,,
151,80.3125,,
152,85.3125,,
153,84.6875,,
154,85.0,,
155,82.1875,,
156,83.125,,
157,84.6875,,
158,81.875,,
0,,13.125,
1,,19.6875,
2,,23.125,
3,,25.9375,
4,,28.75,
5,,27.8125,
6,,32.8125,
7,,37.1875,
8,,38.125,
9,,35.3125,
10,,44.6875,
11,,40.625,
12,,44.6875,
13,,44.6875,
14,,44.6875,
15,,45.625,
16,,43.4375,
17,,49.0625,
18,,54.375,
19,,53.4375,
20,,55.0,
21,,53.75,
22,,59.0625,
23,,57.1875,
24,,56.5625,
25,,55.0,
26,,59.0625,
27,,60.3125,
28,,64.0625,
29,,61.25,
30,,58.75,
31,,63.125,
32,,64.6875,
33,,60.3125,
34,,64.6875,
35,,64.375,
36,,61.875,
37,,64.6875,
38,,66.25,
39,,66.875,
40,,68.125,
41,,72.5,
42,,67.1875,
43,,66.5625,
44,,70.0,
45,,69.0625,
46,,68.75,
47,,73.4375,
48,,64.6875,
49,,73.125,
50,,70.3125,
51,,75.0,
52,,74.0625,
53,,71.25,
54,,72.1875,
55,,70.3125,
56,,70.3125,
57,,70.9375,
58,,74.6875,
59,,76.25,
60,,76.5625,
61,,75.0,
62,,76.25,
63,,76.5625,
64,,77.8125,
65,,76.5625,
66,,79.0625,
67,,77.1875,
68,,77.5,
69,,76.875,
70,,77.5,
71,,78.75,
72,,77.5,
73,,78.4375,
74,,79.375,
75,,78.125,
76,,80.3125,
77,,74.0625,
78,,76.875,
79,,76.875,
80,,71.5625,
81,,76.875,
82,,72.1875,
83,,77.5,
84,,75.625,
85,,80.3125,
86,,77.1875,
87,,75.625,
88,,76.25,
89,,75.3125,
90,,78.75,
91,,78.125,
92,,80.0,
93,,81.25,
94,,81.25,
95,,82.8125,
96,,81.25,
97,,80.625,
98,,82.5,
99,,81.5625,
100,,81.875,
101,,80.3125,
102,,81.5625,
103,,82.1875,
104,,82.5,
105,,81.875,
106,,82.5,
107,,82.5,
108,,83.125,
109,,83.4375,
110,,81.875,
111,,83.75,
112,,81.875,
113,,82.5,
114,,83.4375,
115,,83.125,
116,,83.75,
117,,82.5,
118,,82.5,
119,,82.8125,
120,,83.75,
121,,84.0625,
122,,83.75,
123,,83.75,
124,,83.75,
125,,82.8125,
126,,83.4375,
127,,83.75,
128,,84.375,
129,,77.1875,
130,,76.5625,
131,,75.0,
132,,81.25,
133,,76.25,
134,,78.4375,
135,,79.375,
136,,78.75,
