Epochs,Validation Scores,Validation Running Scores,Train,Test Accuracy
0,7.5,,,
1,17.5,,,
2,20.3125,,,
3,21.25,,,
4,23.75,,,
5,26.25,,,
6,28.125,,,
7,30.3125,,,
8,33.75,,,
9,39.0625,,,
10,36.25,,,
11,38.125,,,
12,39.375,,,
13,37.8125,,,
14,40.9375,,,
15,44.0625,,,
16,49.375,,,
17,43.4375,,,
18,48.4375,,,
19,48.4375,,,
20,45.3125,,,
21,50.3125,,,
22,47.8125,,,
23,52.5,,,
24,52.1875,,,
25,54.6875,,,
26,57.8125,,,
27,57.5,,,
28,54.375,,,
29,55.625,,,
30,51.875,,,
31,52.8125,,,
32,54.375,,,
33,58.4375,,,
34,60.9375,,,
35,60.625,,,
36,63.125,,,
37,61.875,,,
38,61.5625,,,
39,63.125,,,
40,64.375,,,
41,61.5625,,,
42,63.75,,,
43,63.75,,,
44,63.75,,,
45,66.875,,,
46,65.3125,,,
47,61.5625,,,
48,65.3125,,,
49,67.5,,,
50,67.5,,,
51,66.875,,,
52,65.3125,,,
53,65.625,,,
54,64.0625,,,
55,63.75,,,
56,68.125,,,
57,69.6875,,,
58,68.125,,,
59,69.0625,,,
60,69.6875,,,
61,67.5,,,
62,70.3125,,,
63,70.625,,,
64,69.375,,,
65,70.3125,,,
66,69.6875,,,
67,68.4375,,,
68,69.6875,,,
69,68.4375,,,
70,70.625,,,
71,70.9375,,,
72,70.0,,,
73,71.875,,,
74,70.0,,,
75,70.9375,,,
76,70.9375,,,
77,70.3125,,,
78,71.5625,,,
79,70.0,,,
80,71.5625,,,
81,72.5,,,
82,72.8125,,,
83,66.5625,,,
84,68.125,,,
85,67.1875,,,
86,66.875,,,
87,67.8125,,,
88,66.25,,,
89,67.5,,,
90,67.5,,,
91,71.875,,,
92,72.5,,,
93,74.6875,,,
94,72.1875,,,
95,71.875,,,
96,72.5,,,
97,72.5,,,
98,75.0,,,
99,72.8125,,,
100,74.6875,,,
101,73.4375,,,
102,70.3125,,,
103,75.9375,,,
104,73.75,,,
105,74.375,,,
106,76.875,,,
107,76.25,,,
108,76.25,,,
109,76.5625,,,
110,75.3125,,,
111,74.6875,,,
112,71.25,,,
113,75.625,,,
114,75.625,,,
115,76.5625,,,
116,77.5,,,
117,75.9375,,,
118,76.5625,,,
119,76.875,,,
120,77.8125,,,
121,78.4375,,,
122,71.875,,,
123,73.75,,,
124,70.0,,,
125,71.5625,,,
126,68.75,,,
127,73.125,,,
128,73.125,,,
129,74.375,,,
130,74.6875,,,
131,72.1875,,,
132,73.4375,,,
133,76.25,,,
134,75.0,,,
135,75.0,,,
136,76.875,,,
137,75.9375,,,
138,72.5,,,
139,74.0625,,,
140,77.5,,,
141,77.5,,,
142,74.375,,,
143,76.25,,,
144,76.5625,,,
145,73.75,,,
146,76.5625,,,
147,79.375,,,
148,79.6875,,,
149,80.3125,,,
150,80.9375,,,
151,79.375,,,
152,78.4375,,,
153,78.75,,,
154,78.75,,,
155,80.3125,,,
156,78.75,,,
0,,7.5,,
1,,17.5,,
2,,20.3125,,
3,,21.25,,
4,,23.75,,
5,,26.25,,
6,,28.125,,
7,,30.3125,,
8,,33.75,,
9,,39.0625,,
10,,36.25,,
11,,38.125,,
12,,39.375,,
13,,37.8125,,
14,,40.9375,,
15,,44.0625,,
16,,49.375,,
17,,43.4375,,
18,,48.4375,,
19,,48.4375,,
20,,45.3125,,
21,,50.3125,,
22,,47.8125,,
23,,52.5,,
24,,52.1875,,
25,,54.6875,,
26,,57.8125,,
27,,57.5,,
28,,54.375,,
29,,55.625,,
30,,51.875,,
31,,52.8125,,
32,,54.375,,
33,,58.4375,,
34,,60.9375,,
35,,60.625,,
36,,63.125,,
37,,61.875,,
38,,61.5625,,
39,,63.125,,
40,,64.375,,
41,,61.5625,,
42,,63.75,,
43,,63.75,,
44,,63.75,,
45,,66.875,,
46,,65.3125,,
47,,61.5625,,
48,,65.3125,,
49,,67.5,,
50,,67.5,,
51,,66.875,,
52,,65.3125,,
53,,65.625,,
54,,64.0625,,
55,,63.75,,
56,,68.125,,
57,,69.6875,,
58,,68.125,,
59,,69.0625,,
60,,69.6875,,
61,,67.5,,
62,,70.3125,,
63,,70.625,,
64,,69.375,,
65,,70.3125,,
66,,69.6875,,
67,,68.4375,,
68,,69.6875,,
69,,68.4375,,
70,,70.625,,
71,,70.9375,,
72,,70.0,,
73,,71.875,,
74,,70.0,,
75,,70.9375,,
76,,70.9375,,
77,,70.3125,,
78,,71.5625,,
79,,70.0,,
80,,71.5625,,
81,,72.5,,
82,,72.8125,,
83,,66.5625,,
84,,68.125,,
85,,67.1875,,
86,,66.875,,
87,,67.8125,,
88,,66.25,,
89,,67.5,,
90,,67.5,,
91,,71.875,,
92,,72.5,,
93,,74.6875,,
94,,72.1875,,
95,,71.875,,
96,,72.5,,
97,,72.5,,
98,,75.0,,
99,,72.8125,,
100,,74.6875,,
101,,73.4375,,
102,,70.3125,,
103,,75.9375,,
104,,73.75,,
105,,74.375,,
106,,76.875,,
107,,76.25,,
108,,76.25,,
109,,76.5625,,
110,,75.3125,,
111,,74.6875,,
112,,71.25,,
113,,75.625,,
114,,75.625,,
115,,76.5625,,
116,,77.5,,
117,,75.9375,,
118,,76.5625,,
119,,76.875,,
120,,77.8125,,
121,,78.4375,,
122,,71.875,,
123,,73.75,,
124,,70.0,,
125,,71.5625,,
126,,68.75,,
127,,73.125,,
128,,73.125,,
129,,74.375,,
130,,74.6875,,
131,,72.1875,,
132,,73.4375,,
133,,76.25,,
134,,75.0,,
135,,75.0,,
136,,76.875,,
137,,75.9375,,
138,,72.5,,
139,,74.0625,,
140,,77.5,,
141,,77.5,,
142,,74.375,,
143,,76.25,,
144,,76.5625,,
145,,73.75,,
146,,76.5625,,
147,,79.375,,
148,,79.6875,,
149,,80.3125,,
150,,80.9375,,
151,,79.375,,
152,,78.4375,,
153,,78.75,,
154,,78.75,,
155,,80.3125,,
156,,78.75,,
0,,,6.40625,
1,,,12.96875,
2,,,16.484375,
3,,,18.984375,
4,,,23.359375,
5,,,26.875,
6,,,27.8125,
7,,,32.03125,
8,,,33.4375,
9,,,34.21875,
10,,,36.5625,
11,,,38.515625,
12,,,40.390625,
13,,,41.40625,
14,,,42.734375,
15,,,42.578125,
16,,,44.609375,
17,,,45.625,
18,,,48.515625,
19,,,49.921875,
20,,,49.453125,
21,,,50.78125,
22,,,52.96875,
23,,,53.59375,
24,,,52.578125,
25,,,55.390625,
26,,,55.78125,
27,,,55.703125,
28,,,58.125,
29,,,56.953125,
30,,,58.4375,
31,,,58.984375,
32,,,59.609375,
33,,,61.015625,
34,,,64.296875,
35,,,63.671875,
36,,,62.5,
37,,,65.3125,
38,,,64.296875,
39,,,64.296875,
40,,,66.40625,
41,,,64.765625,
42,,,65.546875,
43,,,65.15625,
44,,,66.5625,
45,,,66.796875,
46,,,66.171875,
47,,,68.203125,
48,,,69.609375,
49,,,68.59375,
50,,,67.265625,
51,,,68.671875,
52,,,70.390625,
53,,,68.984375,
54,,,69.140625,
55,,,70.78125,
56,,,70.46875,
57,,,73.515625,
58,,,73.671875,
59,,,71.953125,
60,,,71.484375,
61,,,74.21875,
62,,,72.8125,
63,,,72.734375,
64,,,73.359375,
65,,,71.953125,
66,,,74.21875,
67,,,71.5625,
68,,,73.75,
69,,,74.296875,
70,,,73.046875,
71,,,72.8125,
72,,,75.546875,
73,,,74.21875,
74,,,74.921875,
75,,,75.703125,
76,,,74.53125,
77,,,75.78125,
78,,,75.0,
79,,,74.53125,
80,,,74.84375,
81,,,76.640625,
82,,,75.3125,
83,,,69.0625,
84,,,72.265625,
85,,,72.1875,
86,,,73.671875,
87,,,71.640625,
88,,,73.75,
89,,,72.265625,
90,,,74.21875,
91,,,75.234375,
92,,,77.890625,
93,,,76.640625,
94,,,75.78125,
95,,,77.1875,
96,,,78.359375,
97,,,76.640625,
98,,,78.515625,
99,,,78.59375,
100,,,79.140625,
101,,,78.359375,
102,,,78.90625,
103,,,77.734375,
104,,,78.4375,
105,,,80.078125,
106,,,80.78125,
107,,,80.859375,
108,,,80.390625,
109,,,80.625,
110,,,79.53125,
111,,,80.0,
112,,,79.84375,
113,,,80.859375,
114,,,82.8125,
115,,,81.40625,
116,,,82.5,
117,,,82.96875,
118,,,81.875,
119,,,82.109375,
120,,,83.4375,
121,,,83.671875,
122,,,76.328125,
123,,,80.703125,
124,,,79.53125,
125,,,80.546875,
126,,,80.3125,
127,,,80.625,
128,,,81.328125,
129,,,81.171875,
130,,,81.875,
131,,,80.15625,
132,,,82.109375,
133,,,82.578125,
134,,,82.8125,
135,,,82.65625,
136,,,83.671875,
137,,,83.359375,
138,,,82.890625,
139,,,83.671875,
140,,,83.90625,
141,,,84.609375,
142,,,84.609375,
143,,,84.453125,
144,,,84.6875,
145,,,82.34375,
146,,,83.046875,
147,,,86.484375,
148,,,86.640625,
149,,,86.796875,
150,,,87.421875,
151,,,88.046875,
152,,,87.5,
153,,,87.65625,
154,,,88.359375,
155,,,88.125,
156,,,87.34375,
0,,,,8.0
1,,,,15.0
2,,,,19.5
3,,,,21.75
4,,,,23.0
5,,,,27.75
6,,,,29.25
7,,,,33.25
8,,,,36.25
9,,,,37.5
10,,,,34.0
11,,,,36.75
12,,,,40.0
13,,,,37.75
14,,,,42.5
15,,,,40.5
16,,,,41.25
17,,,,39.75
18,,,,43.25
19,,,,43.5
20,,,,41.5
21,,,,45.5
22,,,,45.5
23,,,,45.0
24,,,,49.0
25,,,,49.0
26,,,,51.5
27,,,,53.0
28,,,,49.5
29,,,,47.5
30,,,,49.25
31,,,,45.5
32,,,,48.5
33,,,,53.75
34,,,,51.25
35,,,,53.5
36,,,,54.0
37,,,,52.25
38,,,,55.5
39,,,,56.0
40,,,,56.25
41,,,,54.0
42,,,,55.5
43,,,,55.25
44,,,,55.25
45,,,,56.5
46,,,,56.25
47,,,,57.75
48,,,,56.75
49,,,,56.5
50,,,,58.0
51,,,,58.75
52,,,,53.5
53,,,,55.25
54,,,,57.0
55,,,,56.5
56,,,,57.25
57,,,,59.5
58,,,,60.5
59,,,,59.0
60,,,,58.75
61,,,,58.5
62,,,,60.5
63,,,,61.5
64,,,,60.25
65,,,,61.75
66,,,,60.0
67,,,,57.0
68,,,,59.75
69,,,,59.0
70,,,,60.25
71,,,,61.25
72,,,,61.25
73,,,,61.25
74,,,,59.75
75,,,,59.75
76,,,,61.75
77,,,,61.5
78,,,,60.75
79,,,,60.0
80,,,,61.75
81,,,,61.5
82,,,,62.25
83,,,,57.0
84,,,,57.5
85,,,,59.75
86,,,,60.25
87,,,,61.0
88,,,,56.25
89,,,,58.75
90,,,,57.0
91,,,,61.75
92,,,,62.25
93,,,,63.5
94,,,,63.5
