Epochs,Validation Scores,Validation Running Scores,Train,Test Accuracy
0,7.5,,,
1,17.5,,,
2,20.3125,,,
3,21.25,,,
4,23.75,,,
5,26.25,,,
6,28.125,,,
7,30.3125,,,
8,33.75,,,
9,39.0625,,,
10,36.25,,,
11,38.125,,,
12,39.375,,,
13,37.8125,,,
14,40.9375,,,
15,44.0625,,,
16,49.375,,,
17,43.4375,,,
18,48.4375,,,
19,48.4375,,,
20,45.3125,,,
21,50.3125,,,
22,47.8125,,,
23,52.5,,,
24,52.1875,,,
25,54.6875,,,
26,57.8125,,,
27,57.5,,,
28,54.375,,,
29,55.625,,,
30,51.875,,,
31,52.8125,,,
32,54.375,,,
33,58.4375,,,
34,60.9375,,,
35,60.625,,,
36,63.125,,,
37,61.875,,,
38,61.5625,,,
39,63.125,,,
40,64.375,,,
41,61.5625,,,
42,63.75,,,
43,63.75,,,
44,63.75,,,
45,66.875,,,
46,65.3125,,,
47,61.5625,,,
48,65.3125,,,
49,67.5,,,
50,67.5,,,
51,66.875,,,
52,65.3125,,,
53,65.625,,,
54,64.0625,,,
55,63.75,,,
56,68.125,,,
57,69.6875,,,
58,68.125,,,
59,69.0625,,,
60,69.6875,,,
61,67.5,,,
62,70.3125,,,
63,70.625,,,
64,69.375,,,
65,70.3125,,,
66,69.6875,,,
67,68.4375,,,
68,69.6875,,,
69,68.4375,,,
70,70.625,,,
71,70.9375,,,
72,70.0,,,
73,71.875,,,
74,70.0,,,
75,70.9375,,,
76,70.9375,,,
77,70.3125,,,
78,71.5625,,,
79,70.0,,,
80,71.5625,,,
81,72.5,,,
82,72.8125,,,
83,71.25,,,
84,70.3125,,,
85,72.1875,,,
86,72.5,,,
87,72.1875,,,
88,71.875,,,
89,72.5,,,
90,72.5,,,
91,72.1875,,,
92,71.875,,,
0,,7.5,,
1,,17.5,,
2,,20.3125,,
3,,21.25,,
4,,23.75,,
5,,26.25,,
6,,28.125,,
7,,30.3125,,
8,,33.75,,
9,,39.0625,,
10,,36.25,,
11,,38.125,,
12,,39.375,,
13,,37.8125,,
14,,40.9375,,
15,,44.0625,,
16,,49.375,,
17,,43.4375,,
18,,48.4375,,
19,,48.4375,,
20,,45.3125,,
21,,50.3125,,
22,,47.8125,,
23,,52.5,,
24,,52.1875,,
25,,54.6875,,
26,,57.8125,,
27,,57.5,,
28,,54.375,,
29,,55.625,,
30,,51.875,,
31,,52.8125,,
32,,54.375,,
33,,58.4375,,
34,,60.9375,,
35,,60.625,,
36,,63.125,,
37,,61.875,,
38,,61.5625,,
39,,63.125,,
40,,64.375,,
41,,61.5625,,
42,,63.75,,
43,,63.75,,
44,,63.75,,
45,,66.875,,
46,,65.3125,,
47,,61.5625,,
48,,65.3125,,
49,,67.5,,
50,,67.5,,
51,,66.875,,
52,,65.3125,,
53,,65.625,,
54,,64.0625,,
55,,63.75,,
56,,68.125,,
57,,69.6875,,
58,,68.125,,
59,,69.0625,,
60,,69.6875,,
61,,67.5,,
62,,70.3125,,
63,,70.625,,
64,,69.375,,
65,,70.3125,,
66,,69.6875,,
67,,68.4375,,
68,,69.6875,,
69,,68.4375,,
70,,70.625,,
71,,70.9375,,
72,,70.0,,
73,,71.875,,
74,,70.0,,
75,,70.9375,,
76,,70.9375,,
77,,70.3125,,
78,,71.5625,,
79,,70.0,,
80,,71.5625,,
81,,72.5,,
82,,72.8125,,
83,,71.25,,
84,,70.3125,,
85,,72.1875,,
86,,72.5,,
87,,72.1875,,
88,,71.875,,
89,,72.5,,
90,,72.5,,
91,,72.1875,,
92,,71.875,,
0,,,6.40625,
1,,,12.96875,
2,,,16.484375,
3,,,18.984375,
4,,,23.359375,
5,,,26.875,
6,,,27.8125,
7,,,32.03125,
8,,,33.4375,
9,,,34.21875,
10,,,36.5625,
11,,,38.515625,
12,,,40.390625,
13,,,41.40625,
14,,,42.734375,
15,,,42.578125,
16,,,44.609375,
17,,,45.625,
18,,,48.515625,
19,,,49.921875,
20,,,49.453125,
21,,,50.78125,
22,,,52.96875,
23,,,53.59375,
24,,,52.578125,
25,,,55.390625,
26,,,55.78125,
27,,,55.703125,
28,,,58.125,
29,,,56.953125,
30,,,58.4375,
31,,,58.984375,
32,,,59.609375,
33,,,61.015625,
34,,,64.296875,
35,,,63.671875,
36,,,62.5,
37,,,65.3125,
38,,,64.296875,
39,,,64.296875,
40,,,66.40625,
41,,,64.765625,
42,,,65.546875,
43,,,65.15625,
44,,,66.5625,
45,,,66.796875,
46,,,66.171875,
47,,,68.203125,
48,,,69.609375,
49,,,68.59375,
50,,,67.265625,
51,,,68.671875,
52,,,70.390625,
53,,,68.984375,
54,,,69.140625,
55,,,70.78125,
56,,,70.46875,
57,,,73.515625,
58,,,73.671875,
59,,,71.953125,
60,,,71.484375,
61,,,74.21875,
62,,,72.8125,
63,,,72.734375,
64,,,73.359375,
65,,,71.953125,
66,,,74.21875,
67,,,71.5625,
68,,,73.75,
69,,,74.296875,
70,,,73.046875,
71,,,72.8125,
72,,,75.546875,
73,,,74.21875,
74,,,74.921875,
75,,,75.703125,
76,,,74.53125,
77,,,75.78125,
78,,,75.0,
79,,,74.53125,
80,,,74.84375,
81,,,76.640625,
82,,,75.3125,
83,,,75.78125,
84,,,76.25,
85,,,75.9375,
86,,,75.390625,
87,,,75.390625,
88,,,76.5625,
89,,,76.640625,
90,,,77.1875,
91,,,75.46875,
92,,,75.0,
0,,,,8.0
1,,,,15.0
2,,,,19.5
3,,,,21.75
4,,,,23.0
5,,,,27.75
6,,,,29.25
7,,,,33.25
8,,,,36.25
9,,,,37.5
10,,,,34.0
11,,,,36.75
12,,,,40.0
13,,,,37.75
14,,,,42.5
15,,,,40.5
16,,,,41.25
17,,,,39.75
18,,,,43.25
19,,,,43.5
20,,,,41.5
21,,,,45.5
22,,,,45.5
23,,,,45.0
24,,,,49.0
25,,,,49.0
26,,,,51.5
27,,,,53.0
28,,,,49.5
29,,,,47.5
30,,,,49.25
31,,,,45.5
32,,,,48.5
33,,,,53.75
34,,,,51.25
35,,,,53.5
36,,,,54.0
37,,,,52.25
38,,,,55.5
39,,,,56.0
40,,,,56.25
41,,,,54.0
42,,,,55.5
43,,,,55.25
44,,,,55.25
45,,,,56.5
46,,,,56.25
47,,,,57.75
48,,,,56.75
49,,,,56.5
50,,,,58.0
51,,,,58.75
52,,,,53.5
53,,,,55.25
54,,,,57.0
55,,,,56.5
56,,,,57.25
57,,,,59.5
58,,,,60.5
59,,,,59.0
60,,,,58.75
61,,,,58.5
62,,,,60.5
63,,,,61.5
64,,,,60.25
65,,,,61.75
66,,,,60.0
67,,,,57.0
68,,,,59.75
69,,,,59.0
70,,,,60.25
71,,,,61.25
72,,,,61.25
73,,,,61.25
74,,,,59.75
75,,,,59.75
76,,,,61.75
77,,,,61.5
78,,,,60.75
79,,,,60.0
80,,,,61.75
81,,,,61.5
82,,,,62.25
83,,,,61.75
84,,,,61.75
85,,,,63.25
86,,,,62.25
87,,,,62.5
88,,,,62.25
89,,,,62.25
90,,,,62.0
91,,,,62.0
92,,,,63.0
