Epochs,learning_rate
0,0.0003
1,0.00029795419551040833
2,0.00029187258625509513
3,0.00028192106268097334
4,0.00026837107640945905
5,0.00025159223574386114
6,0.00023204222371836405
7,0.0002102543136979454
8,0.00018682282307111987
9,0.00016238690182084986
10,0.00013761309817915014
11,0.00011317717692888012
12,8.97456863020546e-05
13,6.795777628163599e-05
14,4.840776425613886e-05
15,3.162892359054098e-05
16,1.8078937319026654e-05
17,8.127413744904804e-06
18,2.0458044895916513e-06
19,0.0
20,0.0003
21,0.00029795419551040833
22,0.00029187258625509513
23,0.00028192106268097334
24,0.00026837107640945905
25,0.00025159223574386114
26,0.00023204222371836405
27,0.0002102543136979454
28,0.00018682282307111987
29,0.00016238690182084986
30,0.00013761309817915014
31,0.00011317717692888012
32,0.0003
33,0.00029795419551040833
34,0.00029187258625509513
35,0.00028192106268097334
36,0.00026837107640945905
37,0.00025159223574386114
38,0.00023204222371836405
39,0.0002102543136979454
40,0.00018682282307111987
41,0.00016238690182084986
42,0.00013761309817915014
43,0.00011317717692888012
44,8.97456863020546e-05
45,6.795777628163599e-05
46,4.840776425613886e-05
47,3.162892359054098e-05
48,1.8078937319026654e-05
49,8.127413744904804e-06
50,2.0458044895916513e-06
51,0.0
52,2.0458044895916348e-06
53,8.127413744904821e-06
54,1.8078937319026637e-05
55,3.162892359054094e-05
56,4.840776425613878e-05
57,6.795777628163595e-05
58,8.974568630205452e-05
