Epochs,Validation Scores,Validation Running Scores,Train Loss
0,89.18060407117707,,
1,89.09959725370757,,
2,88.74053971054448,,
3,88.8224395891285,,
4,88.83327625141126,,
5,88.8402150462354,,
6,89.06055416626529,,
0,,89.18060407117707,
1,,89.09959725370757,
2,,88.74053971054448,
3,,88.8224395891285,
4,,88.83327625141126,
5,,88.8402150462354,
6,,89.06055416626529,
0,,,0.02387402736219681
1,,,0.015026584942178386
2,,,0.004598526964481506
3,,,0.004354744798749582
4,,,0.0038444319395542453
5,,,0.003748752689635795
6,,,0.0036048746088959485
